
===============================================================
                Cortex-M3 ICODE BUS TRACE
===============================================================

TIME(ns)     ADDRESS      INSTRUCTION    HTRANS   HRESP
 27440.000ns   00000130   50d058c8      NONSEQ      OKAY
 27560.000ns   00000134   490adcfb      NONSEQ      OKAY
 27600.000ns   00000138   20004a0a      NONSEQ      OKAY
 27800.000ns   0000012c   3b04dd03      NONSEQ      OKAY
 27840.000ns   00000130   50d058c8      NONSEQ      OKAY
 27960.000ns   00000134   490adcfb      NONSEQ      OKAY
 28000.000ns   00000138   20004a0a      NONSEQ      OKAY
 28200.000ns   0000012c   3b04dd03      NONSEQ      OKAY
 28240.000ns   0000013c   bfbc4291      NONSEQ      OKAY
 28320.000ns   00000140   0b04f841      NONSEQ      OKAY
 28480.000ns   00000144   4808e7fa      NONSEQ      OKAY
 28520.000ns   00000148   f0004780      NONSEQ      OKAY
 28560.000ns   0000013c   bfbc4291      NONSEQ      OKAY
 28600.000ns   00000140   0b04f841      NONSEQ      OKAY
 28640.000ns   00000144   4808e7fa      NONSEQ      OKAY
 28680.000ns   00000148   f0004780      NONSEQ      OKAY
 28720.000ns   0000013c   bfbc4291      NONSEQ      OKAY
 28760.000ns   00000140   0b04f841      NONSEQ      OKAY
 28800.000ns   00000144   4808e7fa      NONSEQ      OKAY
 28840.000ns   00000148   f0004780      NONSEQ      OKAY
 28880.000ns   0000013c   bfbc4291      NONSEQ      OKAY
 28920.000ns   00000140   0b04f841      NONSEQ      OKAY
 28960.000ns   00000144   4808e7fa      NONSEQ      OKAY
 29000.000ns   00000148   f0004780      NONSEQ      OKAY
 29040.000ns   0000013c   bfbc4291      NONSEQ      OKAY
 29080.000ns   00000140   0b04f841      NONSEQ      OKAY
 29120.000ns   00000144   4808e7fa      NONSEQ      OKAY
 29160.000ns   00000148   f0004780      NONSEQ      OKAY
 29200.000ns   0000013c   bfbc4291      NONSEQ      OKAY
 29240.000ns   00000140   0b04f841      NONSEQ      OKAY
 29280.000ns   00000144   4808e7fa      NONSEQ      OKAY
 29320.000ns   00000148   f0004780      NONSEQ      OKAY
 29360.000ns   0000013c   bfbc4291      NONSEQ      OKAY
 29400.000ns   0000014c   f000f8f1      NONSEQ      OKAY
 29480.000ns   00000150   0000feb1      NONSEQ      OKAY
 29520.000ns   00000ea4   4a024b01      NONSEQ      OKAY
 29560.000ns   00000ea8   4770601a      NONSEQ      OKAY
 29600.000ns   00000eac   20000000      NONSEQ      OKAY
 29720.000ns   00000eb0   017d7840      NONSEQ      OKAY
 29760.000ns   00000148   f0004780      NONSEQ      OKAY
 29800.000ns   0000014c   f000f8f1      NONSEQ      OKAY
 29840.000ns   00000150   0000feb1      NONSEQ      OKAY
 29880.000ns   00000330   f000b510      NONSEQ      OKAY
 29920.000ns   00000334   f44ff86b      NONSEQ      OKAY
 29960.000ns   00000338   2011428b      NONSEQ      OKAY
 30000.000ns   0000040c   2340f04f      NONSEQ      OKAY
 30040.000ns   00000410   2225212b      NONSEQ      OKAY
 30200.000ns   00000414   609a6119      NONSEQ      OKAY
 30240.000ns   00000418   bf004770      NONSEQ      OKAY
 30280.000ns   0000041c   2240f04f      NONSEQ      OKAY
 30400.000ns   00000334   f44ff86b      NONSEQ      OKAY
 30440.000ns   00000338   2011428b      NONSEQ      OKAY
 30640.000ns   0000033c   4b0f490e      NONSEQ      OKAY
 30680.000ns   00000340   619a6188      NONSEQ      OKAY
 30720.000ns   00000344   ff60f7ff      NONSEQ      OKAY
 30840.000ns   00000348   f7ff4604      NONSEQ      OKAY
 30920.000ns   00000208   2300b530      NONSEQ      OKAY
 30960.000ns   0000020c   b0852401      NONSEQ      OKAY
 31040.000ns   00000210   46222120      NONSEQ      OKAY
 31280.000ns   00000214   4302e9cd      NONSEQ      OKAY
 31320.000ns   00000218   93014818      NONSEQ      OKAY
 31400.000ns   0000021c   f0009400      NONSEQ      OKAY
 31440.000ns   00000220   b9f0f98d      NONSEQ      OKAY
 31640.000ns   00000224   48154605      NONSEQ      OKAY
 31720.000ns   0000053c   bf183a00      NONSEQ      OKAY
 31760.000ns   00000540   b10b2201      NONSEQ      OKAY
 31800.000ns   00000544   0202f042      NONSEQ      OKAY
 31840.000ns   00000548   b10b9b00      NONSEQ      OKAY
 31880.000ns   0000054c   0204f042      NONSEQ      OKAY
 31920.000ns   00000548   b10b9b00      NONSEQ      OKAY
 31960.000ns   0000054c   0204f042      NONSEQ      OKAY
 32000.000ns   00000550   b10b9b01      NONSEQ      OKAY
 32120.000ns   00000554   0208f042      NONSEQ      OKAY
 32160.000ns   00000558   b10b9b02      NONSEQ      OKAY
 32280.000ns   00000558   b10b9b02      NONSEQ      OKAY
 32320.000ns   0000055c   0210f042      NONSEQ      OKAY
 32360.000ns   00000560   b10b9b03      NONSEQ      OKAY
 32480.000ns   00000564   0220f042      NONSEQ      OKAY
